Fecha,Close,Ticker
2021-11-22,161.020004,AAPL
2021-11-22,168.740005,GLD
2021-11-22,178.628494,AMZN
2021-11-22,240.320007,VTI
2021-11-22,339.829987,MSFT
2021-11-22,341.01001,META
2021-11-22,385.623322,TSLA
2021-11-22,399.299988,QQQ
2021-11-22,429.910004,VOO
2021-11-22,482.470001,CSPX.L
2021-11-23,31.746,NVDA
2021-11-23,40.189999,XLF
2021-11-23,61.990002,IEMG
2021-11-23,79.790001,EFA
2021-11-23,84.504997,XLK
2021-11-23,144.5,TLT
2021-11-23,145.781998,GOOGL
2021-11-23,161.410004,AAPL
2021-11-23,167.279999,GLD
2021-11-23,179.001999,AMZN
2021-11-23,240.399994,VTI
2021-11-23,337.25,META
2021-11-23,337.679993,MSFT
2021-11-23,369.676666,TSLA
2021-11-23,397.480011,QQQ
2021-11-23,430.470001,VOO
2021-11-23,476.170013,CSPX.L
2021-11-24,32.674,NVDA
2021-11-24,40.099998,XLF
2021-11-24,61.889999,IEMG
2021-11-24,79.260002,EFA
2021-11-24,85.120003,XLK
2021-11-24,146.119995,GOOGL
2021-11-24,146.820007,TLT
2021-11-24,161.940002,AAPL
2021-11-24,167.119995,GLD
2021-11-24,179.020493,AMZN
2021-11-24,241.210007,VTI
2021-11-24,337.910004,MSFT
2021-11-24,341.059998,META
2021-11-24,372.0,TSLA
2021-11-24,398.76001,QQQ
2021-11-24,431.529999,VOO
2021-11-24,478.160004,CSPX.L
2021-11-25,480.059998,CSPX.L
2021-11-26,31.503,NVDA
2021-11-26,38.77,XLF
2021-11-26,59.91,IEMG
2021-11-26,77.129997,EFA
2021-11-26,82.995003,XLK
2021-11-26,142.182999,GOOGL
2021-11-26,150.529999,TLT
2021-11-26,156.809998,AAPL
2021-11-26,166.850006,GLD
2021-11-26,175.227997,AMZN
2021-11-26,235.990005,VTI
2021-11-26,329.679993,MSFT
2021-11-26,333.119995,META
2021-11-26,360.640015,TSLA
2021-11-26,391.200012,QQQ
2021-11-26,422.140015,VOO
2021-11-26,468.649994,CSPX.L
2021-11-29,33.375999,NVDA
2021-11-29,38.889999,XLF
2021-11-29,60.099998,IEMG
2021-11-29,77.519997,EFA
2021-11-29,85.07,XLK
2021-11-29,145.530502,GOOGL
2021-11-29,149.320007,TLT
2021-11-29,160.240005,AAPL
2021-11-29,166.619995,GLD
2021-11-29,178.078506,AMZN
2021-11-29,238.210007,VTI
2021-11-29,336.630005,MSFT
2021-11-29,338.029999,META
2021-11-29,378.996674,TSLA
2021-11-29,399.690002,QQQ
2021-11-29,427.23999,VOO
2021-11-29,473.390015,CSPX.L
2021-11-30,32.675999,NVDA
2021-11-30,37.959999,XLF
2021-11-30,60.119999,IEMG
2021-11-30,76.839996,EFA
2021-11-30,84.360001,XLK
2021-11-30,141.897507,GOOGL
2021-11-30,151.589996,TLT
2021-11-30,165.300003,AAPL
2021-11-30,165.5,GLD
2021-11-30,175.3535,AMZN
2021-11-30,233.449997,VTI
2021-11-30,324.459991,META
2021-11-30,330.589996,MSFT
2021-11-30,381.58667,TSLA
2021-11-30,393.820007,QQQ
2021-11-30,419.059998,VOO
2021-11-30,467.73999,CSPX.L
2021-12-01,31.434999,NVDA
2021-12-01,37.540001,XLF
2021-12-01,60.25,IEMG
2021-12-01,76.400002,EFA
2021-12-01,83.205002,XLK
2021-12-01,141.051498,GOOGL
2021-12-01,152.339996,TLT
2021-12-01,164.770004,AAPL
2021-12-01,166.160004,GLD
2021-12-01,172.186005,AMZN
2021-12-01,230.160004,VTI
2021-12-01,310.600006,META
2021-12-01,330.079987,MSFT
2021-12-01,365.0,TSLA
2021-12-01,387.119995,QQQ
2021-12-01,414.23999,VOO
2021-12-01,474.160004,CSPX.L
2021-12-02,32.125999,NVDA
2021-12-02,38.66,XLF
2021-12-02,60.98,IEMG
2021-12-02,77.349998,EFA
2021-12-02,83.970001,XLK
2021-12-02,142.966003,GOOGL
2021-12-02,152.529999,TLT
2021-12-02,163.759995,AAPL
2021-12-02,165.240005,GLD
2021-12-02,171.867996,AMZN
2021-12-02,233.899994,VTI
2021-12-02,310.390015,META
2021-12-02,329.48999,MSFT
2021-12-02,361.533325,TSLA
2021-12-02,389.910004,QQQ
2021-12-02,420.559998,VOO
2021-12-02,464.559998,CSPX.L
2021-12-03,30.693001,NVDA
2021-12-03,38.029999,XLF
2021-12-03,60.209999,IEMG
2021-12-03,77.029999,EFA
2021-12-03,82.565002,XLK
2021-12-03,142.001495,GOOGL
2021-12-03,154.350006,TLT
2021-12-03,161.839996,AAPL
2021-12-03,166.630005,GLD
2021-12-03,169.489502,AMZN
2021-12-03,231.190002,VTI
2021-12-03,306.839996,META
2021-12-03,323.01001,MSFT
2021-12-03,338.323334,TSLA
2021-12-03,383.130005,QQQ
2021-12-03,416.839996,VOO
2021-12-03,463.25,CSPX.L
2021-12-06,30.037001,NVDA
2021-12-06,38.610001,XLF
2021-12-06,60.68,IEMG
2021-12-06,77.769997,EFA
2021-12-06,83.349998,XLK
2021-12-06,143.154999,GOOGL
2021-12-06,152.229996,TLT
